final_sentence,grammar_score,coherence_score,word
The musician played a beautiful melody on her guitar.,0.97,1,musician
The magician was an excellent entertainer at the party.,0.81,1,entertainer
The teacher chose a guitar as her instrument.,0.99,1,instrument
The teacher used a recorder to practice singing in class.,0.94,1,recorder
"Here is a sentence that meets the requirements: ""Having a talent for drawing brings joy to artists."" This sentence includes the word ""talent"" exactly as it is, and conveys a clear and simple idea about the value of",0.79,1,talent
The kids are going to a big party tonight.,0.98,1,party
The class will have a party next weekend.,1.0,1,have a party
The family went on a picnic in the park.,0.97,1,picnic
The town hosts an annual summer festival every year.,0.98,1,festival
The girl is looking forward to her friend's wedding.,0.94,1,wedding
Students will celebrate their school play performance tonight.,0.96,1,celebrate
The marching band leads a colorful procession around town.,0.96,1,procession
The water in the refrigerator feels cold.,0.97,1,cold
The teacher stood at the head of the classroom.,0.91,1,head
The bird's neck was very long and slender always.,0.82,1,neck
The boy sniffed his nose when he got cold.,0.98,1,nose
The warm sunshine makes me feel happy outside.,0.99,1,warm
The teacher gave us a bad cold yesterday.,0.99,1,bad cold
The doctor asked me if I had a sore throat.,0.96,1,sore throat
The boy touched his throat while coughing loudly outside.,0.96,1,throat
The teacher held up a mirror to her forehead.,0.97,1,forehead
The boy had a cough during his math test.,0.98,1,cough
The runner ran very fast around the track.,1.0,1,fast
The turtle moved slowly across the wet grass.,1.0,1,slow
The kids need to hurry to catch their bus.,0.97,1,hurry
The rabbit can run very quick outside today.,1.0,1,quick
The clock showed instant time on its digital face.,0.97,1,instant
The sun came out suddenly in clear blue sky.,0.98,1,suddenly
The patient teacher tried to be very impatient today.,0.96,0,impatient
The teacher made sure the classroom was very clean.,0.96,1,clean
The dirty floor needs to be cleaned today.,1.0,1,dirty
"After considering the rules carefully, I came up with this sentence: ""Please clean up your toys after playtime today."" It meets all the requirements and conveys a clear idea of tidying up after a fun activity.",0.83,1,clean up
The teacher helps students wipe their pencils clean.,0.99,1,wipe
The kids love playing outside after wash time.,0.99,1,wash
The red grape juice will leave a stain on my shirt.,0.93,1,stain
The broom helps us sweep the floor every day.,0.97,1,sweep
The water was clear in the pool after cleaning.,0.9,1,clear
The virus can infect people who are not healthy.,0.98,1,infect
It's best to wake up early in the morning.,0.88,1,early
My brother is coming home late from school today.,0.98,1,late
The fire department arrived in timely fashion to rescue everyone.,0.94,1,timely
Students will arrive at school on time tomorrow.,0.99,1,arrive
The teacher told us we have recess later.,1.0,1,later
The party will be postponed until next year's date.,0.88,1,postpone
The library book is due tomorrow morning.,0.85,1,due
The weather caused a delay in our school field trip.,0.95,1,delay
The librarian told us to be quiet in the library.,0.94,1,quiet
The kids in my neighborhood are very noisy.,0.85,1,noisy
The loud firework made a lot of noise outside.,0.97,1,noise
The firework went off loud in the night sky.,0.97,1,loud
The librarian kept the library very silent at night.,0.96,1,silent
The door will shut when I lock it up.,0.98,1,shut
The kids heard a loud sound coming from outside.,0.98,1,sound
The teacher thought it was quite an easy lesson today.,0.95,1,quite
The kids loved buying books at the bookstore.,0.99,1,bookstore
The family goes to the restaurant for dinner tonight.,0.96,1,restaurant
The teacher organized books on the bookshelf neatly tonight.,0.95,1,bookshelf
My mom likes to go to the shop sometimes.,0.97,1,shop
Students go shopping at the supermarket with their parents.,0.94,1,supermarket
Children love going shopping with their parents on weekends.,0.83,1,shopping
The bakery sells fresh bread every Saturday morning.,0.99,1,bakery
The kids are going to the store to buy toys.,0.95,1,store
My mom takes me to the clothing store.,1.0,1,clothing store
The archer aims at her target every time she shoots.,0.96,1,target
The doctor takes her patients to the hospital.,0.99,1,hospital
The ambulance came quickly to help the injured boy.,0.96,1,ambulance
The teacher called in the doctor for the school nurse.,0.9,1,doctor
The nurse gave me medicine to feel better.,1.0,1,nurse
The scientist studied the amazing birds in their habitat.,0.95,1,scientist
The kids are learning about science in their classroom today.,0.94,1,science
Eating nutritious food helps keep your overall health.,0.86,1,health
The doctor prescribed some medicine for my cold.,0.99,1,medicine
The doctor is studying a new disease treatment.,0.99,1,disease
The doctor diagnosed my friend with a bad illness.,0.97,1,illness
The doctor is also known as a physician.,0.93,1,physician
A psychologist helps people solve problems in their minds.,0.95,1,psychologist
The doctor tested my mom for cancer.,1.01,1,cancer
The doctor will prescribe medicine for your headache.,0.99,1,prescribe
The doctor gave her a new treatment plan today.,0.98,1,treatment
The doctor was very patient with her young patients.,0.84,1,patient
The students went to the library every Friday.,0.99,1,library
The librarian helped kids find their favorite books.,0.99,1,librarian
The school principal works with her secretary every day.,0.97,1,secretary
The store clerk helped me pick out some fruit.,0.98,1,clerk
The school principal works in the office every day.,0.97,1,office
The school staff helps students every single day.,1.0,1,staff
"Here is a sentence that meets the requirements: ""The school will start a new summer program tomorrow."" This sentence includes the word ""program"" exactly as it is, without any changes or additional forms. It conveys a clear",0.76,1,program
The school administration has a special department for clubs.,0.95,1,department
The company will send me a bill each month.,0.98,1,bill
Children love visiting the museum every summer vacation.,0.85,1,museum
The museum will exhibit ancient artifacts this weekend.,0.98,1,exhibit
The teacher asked students to show their work.,0.99,1,show
The teacher gave us a present on our birthday yesterday.,0.94,1,present
The flowers will begin to appear in the garden soon.,0.95,1,appear
The detective found strong evidence at the crime scene.,0.96,1,evidence
The teacher will give a presentation about our school.,0.95,1,presentation
The museum has a beautiful display of dinosaurs outside.,0.96,1,display
The teacher spoke in front of her entire audience.,0.97,1,audience
The book can help illustrate different countries around the world.,0.94,1,illustrate
The kids are going to school today after lunch.,0.98,1,school
"Here's a sentence that meets the requirements: ""Children usually attend elementary school from kindergarten age."" This sentence includes the exact phrase ""elementary school,"" is clear and simple, conveys a logical idea,",0.8,1,elementary school
"Here's a simple sentence: After high school, she will go to college.",0.9,1,college
The students visited their local university yesterday.,0.98,1,university
The children went to church on Sunday mornings.,0.99,1,church
The student needs extra help in this particular grade.,0.97,1,grade
The judge will preside over the school court today.,0.97,1,court
The intermediate school teacher gave us homework tonight.,0.96,1,intermediate
The school offers many extracurricular activities after classes.,0.97,1,extracurricular
Students are attending a school conference every year.,0.99,1,conference
The kid kicked the ball across the playground.,0.93,1,ball
The kids played badminton on Saturday afternoon.,0.99,1,badminton
The baseball team practiced every morning before school.,0.99,1,baseball
The teacher helped me practice basketball during recess today.,0.96,1,basketball
My dad loves playing golf on sunny weekends.,0.99,1,golf
The ping-pong table was set up in the gym.,0.89,1,ping-pong
My son loves playing soccer with his friends outside.,0.96,1,soccer
My favorite sport is playing soccer outside.,0.99,1,sport
The kids love playing tennis in the park.,0.99,1,tennis
The kids love playing volleyball at recess time.,0.99,1,volleyball
"Here's a sentence that meets all the requirements: ""I love playing hockey on the ice rink."" This sentence includes the word 'hockey' exactly as it is, conveys a simple idea, and uses easy",0.8,1,hockey
The kids are playing football in their backyard.,0.99,1,football
The athlete ran very fast in the big race.,0.97,1,athlete
"Here's a sentence that meets the requirements: The kids love to play outside every Saturday morning. This sentence includes the word 'play' exactly as it is, conveys a clear idea about children enjoying outdoor activities, and uses",0.79,1,play
The noise from the backcourt was a loud racket.,0.84,1,racket
The students ate their cereal from a big bowl.,0.98,1,bowl
The student carried her lunch in a wicker basket.,0.97,1,basket
The soccer team joined a local youth league.,1.01,1,league
The student reads her book every night before bed.,0.98,1,book
My teacher uses our textbook every day in class.,0.97,1,textbook
Here's a new attempt at creating an English sentence that meets all the requirements: The children loved reading their favorite storybook together.,0.87,1,storybook
"Here's a sentence that meets the requirements: Reading nonfiction books helps us learn new facts. This sentence includes the word 'nonfiction' exactly as it is, without any changes or additional forms. It conveys a",0.78,1,nonfiction
The student will read her favorite book every day.,0.97,1,read
"Here is a sentence that meets the requirements: The teacher told us a new story yesterday. This sentence includes the word ""story"" exactly as it is, conveys a clear and simple idea, and uses age-appropriate vocabulary",0.78,1,story
The little girl played with her favorite doll outside.,0.97,1,doll
The boy's favorite toy was his new robot car.,0.82,1,toy
The little boy played with his toy car outside.,0.98,1,toy car
The kids went to the toy shop to play.,0.97,1,toy shop
The boy is playing outside with his friends happily.,0.96,1,boy
The museum had an antique piano on display yesterday.,0.96,1,antique
The little bird sings a sweet melody outside.,1.0,1,bird
The farmer had a chicken in his backyard yard.,0.97,1,chicken
The chicken had a hen as its mother.,1.0,1,hen
The baseball player swung his bat at the ball.,0.97,1,bat
The chicken laid an egg in its nest yesterday.,0.97,1,egg
The children liked eating the chicken curry at school.,0.96,1,curry
The little girl gently watched a bee outside.,0.99,1,bee
The little girl petted a friendly duck outside.,0.99,1,duck
The little cat is sleeping on the soft cushion.,0.96,1,cat
The dog is very happy in the park today.,0.84,1,dog
The puppy is very happy at our new home.,0.85,1,puppy
The girl has a happy little pet cat.,1.01,1,pet
The zoo has many different kinds of animals.,0.99,1,animal
"Here's a meaningful and natural English sentence: ""When I went to the vet, my cat got checked."" This sentence includes the word 'vet' exactly as it is, without any changes or additional forms. It conveys",0.79,1,vet
The robot helps humans in many important jobs daily.,0.98,1,robot
The wolf likes to play outside in the morning.,0.96,1,wolf
The little girl rode her horse very slowly outside.,0.98,1,horse
My best pal is coming over for a playdate today.,0.95,1,pal
The little boy caught a big fish yesterday.,1.0,1,fish
The kids love fishing with their grandfather on weekends.,0.95,1,fishing
My dad likes to go fishing every Saturday morning.,0.96,1,go fishing
"Here's a sentence that meets all the criteria: ""Children love to swim at our quiet lake."" This sentence includes the word ""lake"" exactly as it is, conveys a simple idea about enjoying swimming, and",0.82,1,lake
The dog likes to poke its nose into baskets.,0.98,1,poke
The tiger is sleeping in its cozy little den.,0.98,1,tiger
The lion is sleeping in its cozy little den.,0.98,1,lion
The kids went to the zoo to see animals.,0.96,1,zoo
The big bear climbed up the tall tree quickly.,0.96,1,bear
The big elephant at the zoo was very friendly.,0.83,1,elephant
The little monkey climbed up the big tree quickly.,0.96,1,monkey
The giraffe loves to eat leaves from tall trees.,0.98,1,giraffe
"Here's a sentence that meets the requirements: ""Children love watching kangaroos hop in zoos nearby."" This sentence includes the word ""kangaroo"" exactly as it is,",0.81,1,kangaroo
The zebra ran quickly around its friends.,0.99,1,zebra
The hikers saw a beautiful white deer in the woods.,0.95,1,deer
The dolphin swam quickly in the ocean today.,0.99,1,dolphin
The animals ran wild in their new backyard home.,0.97,1,wild
The kids ate a banana at their school snack.,0.98,1,banana
The girl ate grapes at the summer picnic today.,0.97,1,grapes
The boy enjoyed eating juicy melon in the summer.,0.97,1,melon
The girl ate a juicy peach at school today.,0.98,1,peach
She ate a juicy pear as a healthy snack.,0.97,1,pear
The girl ate a sweet strawberry right from the box.,0.95,1,strawberry
The watermelon was cut into small pieces for lunch.,0.91,1,watermelon
"Here is a sentence that meets the requirements: ""The apple is a type of fruit."" This sentence includes the word 'fruit' exactly as it is, is clear and simple, conveys a logical idea, and uses",0.77,1,fruit
The fruit vendor sold me a small kiwi yesterday.,0.98,1,kiwi
The teacher added lemon juice to our favorite drink.,0.97,1,lemon
The kids enjoyed drinking fresh orange juice together.,0.99,1,juice
The teacher served grape jam on toast at breakfast.,0.97,1,jam
The fruit is orange when it's fully ripe.,0.85,1,orange
The cat wore a black collar around its neck.,0.98,1,black
The sky looks blue on a sunny day outside.,0.98,1,blue
The brown bear climbed up a big mountain.,0.99,1,brown
The flowers have different beautiful colors.,0.98,1,color
The sky turned gray on the rainy day outside.,0.97,1,gray
The grass on the playground is very green.,0.86,1,green
The ballerina wore a pink tutu to the show.,0.97,1,pink
The apple on the tree is bright red.,0.87,1,red
The teacher drew white chalk on the blackboard.,0.99,1,white
The sunflower has bright yellow petals outside.,0.99,1,yellow
The room was very dark when I locked my door.,0.96,1,dark
The princess wore a beautiful purple dress yesterday.,0.99,1,purple
The rainbow appeared in the sky after the storm.,0.91,1,rainbow
The bright sun shines in the clear blue sky.,0.97,1,bright
The boy found some gold in his backyard today.,0.98,1,gold
The horses will run in their upcoming school race.,0.98,1,race
"Here's a sentence that meets the requirements: ""The teacher will highlight important math concepts today."" This sentence includes the word ""highlight"" exactly as it is, is clear and simple, conveys a logical idea, and",0.79,1,highlight
My friend likes to ride her bike on weekends.,0.98,1,bike
My mom is driving our car to school today.,0.98,1,car
The big red truck drove down the country road.,0.97,1,truck
My friend likes to ride her bicycle on Saturday.,0.97,1,bicycle
The boy rode his motorcycle around the park.,0.99,1,motorcycle
Buses are a common vehicle used in our town.,0.91,1,vehicle
The little boy built a rocket in his backyard.,0.98,1,rocket
"Here's a sentence that meets all your requirements: ""The kids love riding their bikes every Saturday."" This sentence is clear, simple, and easy to understand for an elementary school student in the US. It includes the word ""ride",0.78,1,ride
The school driver helps students walk safely to class.,0.98,1,driver
The kids are sailing their boat on the lake.,0.97,1,boat
The big ship sailed across the calm ocean.,1.0,1,ship
The boy's toy was a shiny silver spaceship.,0.84,1,spaceship
"Here's a sentence that meets the requirements: ""We need to leave some space on our shelf."" This sentence is clear, simple, and easy to understand for an elementary school student in the US. It conveys a single message",0.79,1,space
The children looked up at the bright moon tonight.,0.96,1,moon
The kids went to the beach by the sea.,0.92,1,sea
The earth provides oxygen for us to breathe.,0.99,1,earth
The astronaut wore a special suit to space.,0.99,1,astronaut
The kids are going on a field trip by bus.,0.96,1,bus
Here is a sentence that meets the requirements: We wait at the bus stop every morning.,0.88,1,bus stop
The kids walked quickly through the subway station yesterday.,0.95,1,subway station
The train station is where my family takes the train.,0.94,1,train station
The kids rode the subway to school every day.,0.97,1,subway
The taxi took me to school yesterday morning.,0.99,1,taxi
The elevator in our building goes all the way down.,0.94,1,elevator
The kids are waiting at home because of traffic.,0.96,1,traffic
The bus driver carefully seats each passenger by the window.,0.94,1,passenger
The fire engine rushed past our house today loudly.,0.98,1,fire engine
The firefighters visit the fire station every morning.,0.96,1,fire station
"Here is a sentence that meets the requirements: ""Mrs. Johnson takes her dog to the police station."" This sentence includes the word ""police station"" exactly as it is, conveys a simple idea about taking a",0.78,1,police station
Firefighters helped put out the big kitchen fire.,0.97,1,fire fighter
The police officer helped us find our lost dog.,0.98,1,police officer
The police helped keep our neighborhood very safe.,0.98,1,police
My school has a great P.E. program every day.,0.98,1,P.E.
The firefighters came to rescue the kittens from the tree.,0.88,1,rescue
The little boy dreamed of being a brave soldier.,0.84,1,soldier
The captain was the chief navigator of the ship.,0.78,1,chief
The famous missionary worked in many countries already.,0.99,1,missionary
The fire alarm went off in an emergency situation.,0.97,1,emergency
The teacher feels it's her duty to help students learn.,0.92,1,duty
The plane took off from the airport yesterday morning.,0.96,1,plane
The kite will fly high in the clear sky.,0.97,1,fly
The airplane flew overhead at sunrise today outside my house.,0.94,1,airplane
The plane took off into its regular flight.,1.0,1,flight
The pilot flies the airplane safely every morning.,0.99,1,pilot
The plane will take off from the airport soon.,0.97,1,airport
The pilot carefully landed her helicopter in a field.,0.97,1,helicopter
The bird spread its beautiful colorful wing outside.,0.99,1,wing
The little girl thought her angel was watching over her.,0.94,1,angel
The little girl flew her new kite outside today.,0.98,1,kite
The hunter carefully drew back an arrow before shooting.,0.97,1,arrow
The child ate a slice of fresh bread outside.,0.98,1,bread
The teacher packed a sandwich in my lunchbox.,0.99,1,sandwich
The farmer planted corn in her big green field.,0.98,1,corn
"Here is a sentence that meets the requirements: ""Baking a cake requires a lot of flour."" This sentence includes the word ""flour"" exactly as it is, conveys a clear and logical idea,",0.79,1,flour
"Here is a sentence that meets the requirements: The farmer grew wheat in her big field today. This sentence includes the word ""wheat"" exactly as it is, and conveys a clear idea about what happened to the farmer",0.79,1,wheat
The kids love eating pizza on Friday nights together.,0.98,1,pizza
"Here is a sentence that meets the requirements: ""The girl ate rice for her lunch today."" This sentence includes the word 'rice' exactly as it is, without any changes or additional forms. It conveys a simple idea",0.77,1,rice
The teacher spread butter on our toast for breakfast.,0.97,1,butter
The snowflake fell gently from the sky outside.,0.99,1,flake
"Here's a sentence that meets the requirements: The egg started to crack open on the counter. This sentence includes the word 'crack' exactly as it is, is clear and simple, conveys a single logical idea",0.79,1,crack
The cheese is on my favorite sandwich at school.,0.84,1,cheese
The teacher made a delicious cake for our party.,0.97,1,cake
The teacher gave us sugar in our morning cereal.,0.97,1,sugar
The teacher gave out candy on Halloween night.,0.99,1,candy
The child loved eating chocolate after her morning toast.,0.97,1,chocolate
Here is a sentence that meets the requirements: The teacher told us not to chew gum in class.,0.89,1,gum
The kids enjoyed eating sweets after their birthday party.,0.97,1,sweets
The teacher served cheesecake as a special dessert today.,0.96,1,cheesecake
My mom often saves dessert after dinner tonight.,0.99,1,dessert
My mom baked a delicious warm cookie yesterday.,0.99,1,cookie
The teacher added a spoon of cream to her coffee.,0.95,1,cream
The student's favorite treat was a warm doughnut.,0.83,1,doughnut
The teacher brought pie to our class party today.,0.97,1,pie
"Here's a sentence that meets the requirements: ""I need to use both arms when lifting weights."" This sentence includes the word 'arm' exactly as it is, is clear and simple, and conveys a logical",0.81,1,arm
The child stepped on her little foot very carefully.,0.97,1,foot
"Here is a sentence that meets the requirements: ""The bicycle fell off my leg today."" This sentence includes the word ""leg"" exactly as it is, and conveys a simple idea of something falling. It uses basic vocabulary and grammar",0.77,1,leg
She needs her new shoes for school today.,1.01,1,shoes
The student put on her new pair of socks.,0.98,1,socks
The kids wore their boots to play outside today.,0.98,1,boots
"Here's a 7-word sentence: ""I wear my favorite sneakers every Saturday."" This sentence is clear, simple, and easy to understand for an elementary school student in the US. It includes the word 'snea",0.79,1,sneakers
"Here's a sentence that meets the requirements: ""When I fell down, I hurt my knee."" This sentence includes the word 'knee' exactly as it is, conveys a single idea about an experience of",0.81,1,knee
"Here's a sentence that meets the requirements: ""When I fall, I put my hand on my shoulder."" This sentence includes the word 'shoulder' exactly as it is, is clear and simple, conveys a message",0.81,1,shoulder
"Here's a meaningful and natural English sentence that meets your requirements: The baby lost her favorite shoe on her toe. This sentence is clear, simple, and easy to understand for an elementary school student in the US. It includes the",0.77,1,toe
My favorite shoes fit snugly on my feet.,0.99,1,feet
"Here is a sentence that meets the requirements: My sister wore sandals to the beach vacation. This sentence includes the word ""sandals"" exactly as it is, conveys a clear and simple idea, uses age-appropri",0.79,1,sandals
The soccer player will kick the ball forward strongly.,0.96,1,kick
The rabbit loves to hop across the green meadow.,0.97,1,hop
The child held her hand after falling on the ground.,0.95,1,hand
The little girl accidentally poked her finger with a pin.,0.94,1,finger
"Here's a sentence that meets all your requirements: ""Use your forefinger to point to your name on paper."" This sentence is clear, simple, and easy to understand for an elementary school student in the US.",0.84,1,forefinger
The teacher helps her students listen closely with their ear.,0.94,1,ear
The teacher gently asked students to touch their pencils.,0.96,1,touch
The tourist held up her palm to block the sun.,0.95,1,palm
The cat will scratch the soft cushion.,0.99,1,scratch
The scissors are easy to handle when you have practice.,0.95,1,handle
The baby opens its mouth to take a bottle.,0.98,1,mouth
The girl puckered up her lip to blow out candles.,0.95,1,lip
The little girl used a spoon to stir her oatmeal.,0.95,1,spoon
The teacher smiled at her happy student's face.,0.97,1,face
The sun was shining on my happy cheek.,1.0,1,cheek
The boy opened his chest to show his toys.,0.97,1,chest
The girl wiped away tears from her chin.,1.01,1,chin
My brother likes playing outside in the sunshine.,0.98,1,brother
