final_sentence,grammar_score,coherence_score,word,sentence_meaning
We are dancers. B-boy dancing is from New York.,0.8,0,dancer,우리는 댄서입니다. 비보이 댄스는 뉴욕에서 온 것입니다.
I train my team at the gym regularly.,1.0,1,gym,저는 정기적으로 체육관에서 팀원들을 훈련시킵니다.
I’m on the soccer team; What’s your favorite club?,0.93,1,club,저는 축구팀에 속해 있어요. 당신은 어떤 클럽을 가장 좋아하세요?
I heard beats on the drum while playing.,1.0,1,beat,연주하는 중에 드럼 비트 소리가 들렸어요.
Some runners like to run in the desert.,1.0,1,run,일부 주자는 사막에서 달리는 것을 좋아합니다.
I can walk up this street.,1.01,1,walk,나는 이 거리를 걸어 올라갈 수 있어요.
Regular exercise is good for your health.,0.86,1,exercise,규칙적인 운동은 건강에 좋습니다.
I’m going to run a marathon.,1.0,1,run a marathon,나는 마라톤에 참가할 것이다.
I sneaked into the dark room and walked.,1.0,1,sneak,나는 어두운 방으로 들어가서 걸어갔다.
I like skiing and my sister is not skilled.,0.98,1,ski,"나는 스키를 좋아하고, 내 여동생은 스키를 잘 타지 못해."
I like skiing and going on adventures.,1.0,1,skiing,저는 스키를 타고 모험을 떠나는 걸 좋아해요.
He can't skate because he's playing hockey.,0.96,1,skate,그는 하키를 하기 때문에 스케이트를 탈 수 없습니다.
"I like swimming, but I can’t.",1.0,1,swim,"저는 수영을 좋아하지만, 할 수 없어요."
I'm surprised they drained the pool.,0.99,1,pool,그들이 수영장 물을 빼낸 게 놀랍네요.
I like swimming in the ocean.,1.0,1,swimming,저는 바다에서 수영하는 것을 좋아해요.
Let's go swimming in the sea.,1.0,1,go swimming,바다에서 수영하러 가자.
I can jump over the wall.,1.01,1,jump,나는 벽을 뛰어넘을 수 있어요.
A flute is floating on the water.,1.0,1,float,플루트가 물 위에 떠있습니다.
Let's play the drum after hearing beats.,0.75,1,drum,비트를 듣고 드럼을 연주해 보자.
Let's play the guitar during music class.,1.01,1,guitar,음악 수업 시간에 기타를 연주해 보자.
I take piano lessons once a week.,1.0,1,piano,저는 일주일에 한 번씩 피아노 레슨을 받아요.
Let's play the violin while she practices piano.,0.98,1,violin,그녀가 피아노 연습하는 동안 우리는 바이올린을 연주하자.
We watch a musical together every week.,0.99,1,musical,우리는 매주 함께 뮤지컬을 봅니다.
I know the famous singer has dual nationality.,0.98,1,singer,저는 그 유명 가수가 이중 국적을 가지고 있다는 걸 알고 있어요.
She is a great pianist who loves playing.,0.93,1,pianist,그녀는 연주를 좋아하는 훌륭한 피아니스트입니다.
Playing an instrument is a popular hobby among musicians.,0.83,1,musician,악기를 연주하는 것은 음악가들 사이에서 인기 있는 취미이다.
"Muriel is an all-around entertainer, who's also famous.",0.81,1,entertainer,뮤리얼은 다재다능한 엔터테이너로 유명해요.
Playing an instrument is a popular hobby.,0.85,1,instrument,악기를 연주하는 것은 인기 있는 취미이다.
Let's play the recorder.,1.0,1,recorder,리코더를 연주해 보자.
He has a talent for music.,1.01,1,talent,그는 음악에 재능이 있다.
Welcome to my birthday party!,0.86,1,party,제 생일 파티에 오신 것을 환영합니다!
Let’s have a party at my house.,1.01,1,have a party,우리집에서 파티를 열자.
Let's go on a picnic every weekend.,1.0,1,picnic,매주 주말마다 피크닉을 가자.
How about going to the festival this year?,0.87,1,festival,올해 축제에 가보는 건 어때요?
It's especially cold this evening and I have a bad cold.,0.89,1,cold,오늘 저녁은 특히 춥고 감기에 걸렸어요.
My head hurts because I fell down.,1.0,1,head,넘어져서 머리가 아프다.
I tied the necktie and touched my neck.,0.99,0,neck,나는 넥타이를 매고 목을 만졌다.
Look at the elephant's nose closely now.,0.86,1,nose,이제 코끼리의 코를 자세히 살펴보세요.
I have a bad cold and a fever.,1.0,1,bad cold,저는 심한 감기에 걸렸고 열이 있습니다.
He has a sore throat.,1.01,1,sore throat,그는 인후염이 있다.
My friend has a sore throat.,1.01,1,throat,제 친구가 목이 아픕니다.
She cuts her bangs to hide her forehead.,0.99,1,forehead,그녀는 이마를 숨기기 위해 앞머리를 자른다.
The boy has a cough like my grandfather.,0.98,1,cough,그 소년은 우리 할아버지와 마찬가지로 기침을 합니다.
My brother is as slow as a snail.,0.86,1,slow,내 동생은 달팽이처럼 느리다.
The service is quick and takes 10 minutes.,0.93,1,quick,서비스는 빠르며 10분이 소요됩니다.
My room is clean now because I clean it.,0.97,1,clean,내 방은 내가 청소했기 때문에 이제 깨끗해요.
The wall is dirty.,0.86,1,dirty,벽이 더럽습니다.
I wash my face after washing hands.,1.0,1,wash,손을 씻은 후 얼굴을 씻습니다.
There are stains on the brown bowl.,0.87,1,stain,갈색 그릇에 얼룩이 있습니다.
Please sweep up the sweets.,0.88,1,sweep,사탕을 쓸어 주세요.
I get up late and still make it.,1.01,1,late,나는 늦게 일어나도 여전히 일을 해냅니다.
I'm going to be there when you arrive.,0.98,1,arrive,너가 도착하면 나도 거기에 있을게.
Let’s go there later.,1.01,1,later,거기는 나중에 가자.
They will postpone a journey because of their sick baby.,0.94,1,postpone,그들은 아픈 아기 때문에 여행을 연기할 것입니다.
They are quiet.,0.84,1,quiet,그들은 조용하다.
Don't make noise in the library.,0.87,1,noise,도서관에서는 소음을 내지 마세요.
I’m shutting the shutters because it’s getting dark.,0.94,1,shut,어두워지니까 셔터를 닫아요.
We’re in the bookstore looking at books.,0.99,1,bookstore,우리는 서점에서 책을 보고 있어요.
Let's go to the restaurant on our right.,0.98,1,restaurant,오른쪽에 있는 레스토랑으로 가자.
The manager is responsible for Store goods in the store.,0.79,0,store,관리자는 매장에 상품을 보관하는 일을 담당합니다.
Let's go to the clothing store.,1.0,1,clothing store,옷가게에 가자.
I go to the hospital.,1.0,1,hospital,나는 병원에 간다.
I have an appointment to see Mr. Smith is a doctor.,0.66,1,doctor,저는 스미스 씨를 만나기 위해 약속이 있어요. 스미스 씨는 의사이시거든요.
Ann is a doctor and she is a nurse. Ann is a nurse. Ann is a nurse. Ann is a doctor. Ann is a nurse. Ann is a nurse. Ann is a nurse. Ann,0.5,1,nurse,앤은 의사이고 그녀는 간호사입니다. 앤은 간호사입니다. 앤은 간호사입니다. 앤은 의사입니다. 앤은 간호사입니다. 앤은 간호사입니다. 앤은 간호사입니다. 앤
Scientists often choose She is a scientist.,0.99,0,scientist,과학자들은 종종 그녀가 과학자라고 선택합니다.
I like science very much and have class on Tuesday.,0.95,1,science,저는 과학을 정말 좋아해서 화요일에 수업을 듣습니다.
Your health is better than your wealth always.,0.62,1,health,당신의 건강은 언제나 당신의 부보다 낫습니다.
Misuse of medicine can cause very dangerous problems.,0.99,1,medicine,약을 오용하면 매우 위험한 문제가 발생할 수 있습니다.
She is still weak after my illness.,0.87,1,illness,그녀는 내가 병을 앓은 후에도 여전히 약해요.
She is a psychologist who studies children's behavior. She teaches math. Unable to create a valid sentence.,0.83,0,psychologist,그녀는 아이들의 행동을 연구하는 심리학자입니다. 그녀는 수학을 가르칩니다. 유효한 문장을 만들 수 없습니다.
His father died of lung cancer.,1.01,1,cancer,그의 아버지는 폐암으로 사망했습니다.
I’m going to the library.,1.0,1,library,나는 도서관에 갈 거예요.
"If you have more questions, ask my secretary.",1.0,1,secretary,더 궁금한 점이 있으면 제 비서에게 물어보세요.
My uncle started his career as a clerk.,1.0,1,clerk,제 삼촌은 사무원으로서 직장 생활을 시작했습니다.
"The office is small, between green and pink buildings.",0.84,1,office,"사무실은 작고, 녹색과 분홍색 건물 사이에 있어요."
The restaurant staff is kind and hard-working.,0.93,1,staff,레스토랑 직원들은 친절하고 열심히 일합니다.
Where is the museum?,0.86,1,museum,박물관은 어디에 있나요?
Let’s watch the magic show.,1.01,1,show,마술쇼를 구경해요.
Thank you for the present. I have a watch.,0.96,1,present,선물 고맙습니다. 시계가 있어요.
Our group is going to do the presentation.,0.98,1,presentation,우리 그룹이 프레젠테이션을 할 거예요.
I go to school every day.,1.01,1,school,저는 매일 학교에 가요.
"I’m a student, and I go to university.",0.97,1,university,저는 학생이고 대학에 다닙니다.
I go to church on Sundays.,1.0,1,church,나는 일요일에 교회에 간다.
What grade did you get on the midterm?,1.0,1,grade,중간고사에서 몇 점을 받았나요?
Students need to do extracurricular activities like sports.,0.97,1,extracurricular,학생들은 스포츠와 같은 과외 활동을 해야 합니다.
The ball is near me and it's black.,0.85,1,ball,공이 내 가까이에 있고 검은색이에요.
Our table tennis team wants to play badminton.,1.0,1,badminton,우리 탁구팀은 배드민턴을 하고 싶어해요.
Let's play baseball after school.,1.0,1,baseball,학교가 끝나면 야구를 하자.
We are playing basketball.,0.97,1,basketball,우리는 농구를 하고 있어요.
Let's play golf. Joe is a professional golfer.,0.94,1,golf,골프 치자. 조는 프로 골퍼야.
We are playing ping-pong.,1.01,1,ping-pong,우리는 탁구를 치고 있어요.
We like sports and I’m on the soccer team.,0.96,1,soccer,"저희는 스포츠를 좋아하고, 저는 축구팀에 속해 있어요."
We like sports and are on the soccer team.,0.98,1,sport,우리는 스포츠를 좋아하고 축구팀에 속해 있습니다.
We are playing tennis with my friend.,1.0,1,tennis,우리는 친구와 테니스를 치고 있어요.
I can’t play volleyball because I’m on a soccer team.,0.89,1,volleyball,저는 축구 팀에 속해 있기 때문에 배구를 할 수 없습니다.
I’m on the soccer team and we like hockey.,0.96,1,hockey,저는 축구 팀에 속해 있고 하키를 좋아해요.
The athlete's confidence is boosted by strong legs.,0.9,1,athlete,운동선수의 자신감은 강한 다리로 더욱 높아집니다.
You have to play outside before the game.,1.0,1,play,경기 전에는 밖에서 놀아야 해요.
Do you need a bowl?,1.01,1,bowl,그릇이 필요하신가요?
I have a brown basket. He is walking with a basket full of food.,0.87,0,basket,나는 갈색 바구니를 가지고 있다. 그는 음식이 가득 찬 바구니를 들고 걷고 있다.
I have a book.,0.99,1,book,저는 책 한 권이 있어요.
My textbook is on the desk.,0.87,1,textbook,교과서가 책상 위에 있어요.
I like this storybook because it's fun.,0.99,1,storybook,저는 이 이야기책이 재밌기 때문에 좋아합니다.
I like your story.,0.99,1,story,나는 당신의 이야기를 좋아해요.
I have a doll.,0.99,1,doll,나는 인형을 가지고 있어요.
Do you have toy cars at the store?,1.01,1,toy car,매장에 장난감 자동차가 있나요?
Let’s go to the toy shop.,1.01,1,toy shop,장난감 가게에 가자.
The boy is my brother.,0.87,1,boy,그 소년은 내 동생이에요.
I have a bird that's perched on my roof.,0.95,1,bird,우리 집 지붕 위에 새 한 마리가 앉아 있어요.
The chicken is so chicken that I want it.,0.96,1,chicken,닭고기가 너무 맛있어서 먹고 싶어요.
There's a big hen on the roof.,0.87,1,hen,지붕 위에 큰 암탉이 있어요.
I have a big bat.,1.01,1,bat,나는 큰 박쥐를 가지고 있어요.
I like eggs. She needs two eggs.,0.98,0,egg,나는 계란을 좋아해. 그녀는 계란 두 개가 필요해.
Is Maria from India? This basketball is yours.,0.84,0,curry,마리아는 인도 출신이야? 이 농구공은 네 거야.
We see the bees in the sky.,1.0,1,bee,우리는 하늘에 벌을 봅니다.
"This is a baby duck, and I have a bird.",0.96,1,duck,"이것은 새끼 오리이고, 저는 새를 키우고 있습니다."
I have four cats.,0.99,1,cat,나는 고양이를 네 마리나 키우고 있어요.
I have a dog and I need help.,1.0,1,dog,저는 개를 키우고 있는데 도움이 필요합니다.
My puppy takes my things to play.,0.75,1,puppy,내 강아지가 내 물건을 가지고 놀러가요.
They have a pet that I really want.,1.01,1,pet,제가 정말 원하는 애완동물이 있어요.
I want a robot. That is my toy.,0.99,1,robot,나는 로봇을 원해. 그건 내 장난감이야.
Look at the bear.,0.86,1,wolf,곰을 보세요.
There is something fishy about the fish.,0.87,1,fish,물고기에 뭔가 수상한 게 있어요.
A fishing contest is interesting because his hobby is fishing.,0.91,1,fishing,그의 취미가 낚시이기 때문에 낚시 대회가 흥미롭다.
Let's go fishing on the island.,1.0,1,go fishing,섬에서 낚시하러 가자.
The park is near that lake.,0.88,1,lake,그 공원은 저 호수 근처에 있어요.
We are playing ping-pong. Touch your cheek.,0.99,0,poke,우리는 탁구를 하고 있어요. 뺨을 만져보세요.
Look at the tiger while watching elephants.,0.86,1,tiger,코끼리를 보는 동안 호랑이도 보세요.
"I like lions, but it's not my pet.",0.99,1,lion,"나는 사자를 좋아하지만, 내 애완동물은 아니야."
I’m at the zoo.,1.01,1,zoo,나는 동물원에 있어요.
The bear has a big chest.,1.01,1,bear,곰은 큰 가슴을 가지고 있습니다.
It contains an elephant in the picture.,0.99,1,elephant,그림 속에는 코끼리가 있습니다.
I'm feeding the monkeys and I like bananas.,0.96,1,monkey,"원숭이에게 먹이를 주고, 바나나를 좋아해요."
I like giraffes while watching elephants play.,0.99,1,giraffe,코끼리가 놀고 있는 걸 보면서 기린도 보는 걸 좋아해요.
I like kangaroos.,0.96,1,kangaroo,나는 캥거루를 좋아해요.
It's a zebra that contains an elephant.,0.99,1,zebra,코끼리를 품은 얼룩말이에요.
They see the deer in the zoo.,1.0,1,deer,그들은 동물원에서 사슴을 본다.
The fisherman sees the pink dolphins in sea.,0.99,1,dolphin,어부는 바다에서 분홍색 돌고래를 본다.
The wind was wild; I saw man.,1.01,0,wild,"바람이 사나웠고, 나는 사람을 보았다."
I like bananas because they are cheap.,0.99,1,banana,저는 바나나를 좋아합니다. 왜냐하면 싸기 때문입니다.
I like grapes.,0.98,1,grapes,나는 포도를 좋아해요.
Mom cut the melon into four parts.,1.01,1,melon,엄마는 멜론을 네 조각으로 잘랐습니다.
It is a peach. I would like some fruit. That is a pear. This is a strawberry.,0.79,1,peach,복숭아입니다. 과일을 좀 주세요. 저건 배입니다. 이건 딸기입니다.
That is a pear. I have seven pears.,0.99,0,pear,그것은 배입니다. 저는 배가 일곱 개 있습니다.
Do you like watermelon? This is strawberry.,0.97,0,watermelon,수박 좋아하세요? 이건 딸기예요.
The fruits are fresh. I'd like apples.,0.99,1,fruit,과일은 신선해요. 사과를 주세요.
I am from New Zealand where kiwis grow.,1.0,1,kiwi,저는 키위가 자라는 뉴질랜드 출신이에요.
I like juice that is a lemon.,0.76,1,lemon,나는 레몬주스를 좋아해요.
I want some juice.,0.99,1,juice,주스를 마시고 싶어요.
I want jam while drinking juice.,1.0,1,jam,주스를 마실때 잼도 같이 먹고 싶어요.
"We have eight oranges, and this is green.",1.01,1,orange,오렌지가 8개 있는데 이건 녹색이에요.
This goat is black. It's white.,0.86,0,black,이 염소는 검은색이에요. 흰색이에요.
My boots are blue and I like purple.,1.01,1,blue,"내 부츠는 파란색이고, 나는 보라색을 좋아해요."
The horse is brown.,0.86,1,brown,말은 갈색이다.
"I like this color, it's red and white.",0.99,1,color,저는 이 색깔을 좋아해요. 빨간색과 흰색이요.
The plane is gray and brown.,0.88,1,gray,비행기는 회색과 갈색입니다.
My shorts are green.,0.86,1,green,내 반바지는 녹색이에요.
I have a white T-shirt and brown shoes.,0.99,1,white,저는 흰색 티셔츠와 갈색 신발을 가지고 있어요.
"The pen’s colors are It’s red, It’s green, It’s white, and It’s yellow.",0.87,1,yellow,"펜의 색깔은 빨간색, 초록색, 흰색, 노란색이에요."
That light is dark.,0.86,1,dark,그 빛은 어둠입니다.
I like purple because it's red.,0.93,1,purple,저는 보라색을 좋아해요. 빨간색이거든요.
Look at the rainbow. It’s green. It’s red.,0.9,1,rainbow,무지개를 봐. 초록색이야. 빨간색이야.
Look out! This road is too dark.,0.92,1,bright,조심하세요! 이 길은 너무 어두워요.
Participants are curious about the race.,0.83,1,race,참가자들은 경주에 대해 호기심을 가지고 있습니다.
Let's ride bikes after we finish our homework.,0.98,1,bike,숙제를 다 한 후에 자전거를 타자.
My car is being repaired because it's old.,0.9,1,car,내 차는 오래돼서 수리 중이에요.
This motorcycle is fast. That car is not as fast.,0.79,1,motorcycle,이 오토바이는 빠르다. 저 차는 그만큼 빠르지 않다.
"Cars, buses, and airplanes are vehicles.",0.88,1,vehicle,"자동차, 버스, 비행기는 차량입니다."
Is this your rocket? I can fly.,0.99,1,rocket,이게 네 로켓이야? 나는 날 수 있어.
Let's ride bikes on our summer vacation.,1.0,1,ride,여름 휴가에는 자전거를 타보자.
Ryan's father is a bus driver.,0.87,1,driver,라이언의 아버지는 버스 운전사입니다.
The boat is yellow and I missed it.,1.01,1,boat,배는 노란색인데 놓쳤어요.
"The ship is heavy, let's take the airplane.",0.97,1,ship,배가 무거우니 비행기를 타세요.
We can travel by spaceship and airplanes.,0.99,1,spaceship,우리는 우주선과 비행기로 여행할 수 있습니다.
Are you curious about space? Look at the sky.,0.89,1,space,우주에 대해 궁금하세요? 하늘을 보세요.
The astronomer looked at the moon.,0.99,1,moon,천문학자는 달을 바라보았다.
Look at the sea because it's very calming.,0.9,1,sea,바다를 보세요. 매우 고요하죠.
The earth is beautiful; it's getting warmer.,1.0,1,earth,지구는 아름다워요. 점점 더 따뜻해지고 있어요.
Do you want to be an astronaut like Sue?,0.98,1,astronaut,수처럼 우주비행사가 되고 싶나요?
The bus will come soon at the stop.,1.0,1,bus,버스가 정류장에 곧 도착할 것입니다.
Bus stop is small.,0.61,1,bus stop,버스 정류장은 작습니다.
We are going to the subway station.,1.0,1,subway station,우리는 지하철역으로 가요.
Let's go to the train station.,1.0,1,train station,기차역으로 가자.
The tourists asked Where is the subway station?,0.99,1,subway,관광객들은 지하철역이 어디에 있는지 물었습니다.
Let's take a taxi.,1.01,1,taxi,택시를 타자.
You can use the elevator to find the subway.,0.97,1,elevator,지하철을 찾으려면 엘리베이터를 이용하세요.
The fire station is big where Tom works.,1.0,1,fire station,톰이 일하는 소방서는 크다.
The police station is big where I work.,0.75,1,police station,제가 일하는 곳의 경찰서는 큽니다.
My father is a fire fighter.,0.87,1,fire fighter,제 아버지는 소방관이에요.
Ryan’s mother is a police officer.,0.87,1,police officer,라이언의 어머니는 경찰관입니다.
I’m a police officer at Ryan’s station.,0.97,1,police,저는 라이언 경찰서의 경찰관이에요.
I have P.E. on Wednesdays written on the blackboard.,0.96,1,P.E.,수요일에 체육수업이 있다고 칠판에 써 놓았습니다.
The soldiers fought bravely against our enemy.,0.99,1,soldier,군인들은 우리의 적에 맞서 용감하게 싸웠습니다.
The manager is the chief of security.,0.85,1,chief,관리자는 보안 책임자입니다.
He went to Africa as a missionary last year.,0.98,1,missionary,그는 작년에 선교사로 아프리카에 갔습니다.
I’m making a model airplane.,1.0,1,plane,저는 모형 비행기를 만들고 있어요.
Let's take an airplane and make it fly.,0.98,1,airplane,비행기를 타고 날게 해보자.
He is a pilot and so am I.,0.87,1,pilot,그는 조종사이고 나도 조종사입니다.
It’s a small airport.,1.0,1,airport,작은 공항이에요.
Let’s take a helicopter because he can fly.,0.97,1,helicopter,그는 날 수 있으니까 헬리콥터를 타자.
Chickens have wings. Angels have wings. I have a bird that can fly.,0.81,1,wing,"닭은 날개가 있고, 천사는 날개가 있고, 나는 날 수 있는 새가 있어."
Flying a kite is exciting when flying a helicopter.,0.83,0,kite,헬리콥터를 조종하면서 연을 날리는 것도 신나는 일이다.
Time flies like an arrow as I shoot.,1.01,1,arrow,내가 총을 쏘는 동안 시간은 화살처럼 빠르게 흐른다.
I like bread. The bread smells good.,0.98,1,bread,나는 빵을 좋아한다. 빵 냄새가 좋다.
I want sandwiches because I like bread.,0.99,1,sandwich,나는 빵을 좋아해서 샌드위치를 먹고 싶어요.
I don’t like corn.,1.01,1,corn,나는 옥수수를 좋아하지 않는다.
You can make various foods using wheat.,1.0,1,wheat,밀을 이용해 다양한 음식을 만들 수 있습니다.
I want pizza.,0.98,1,pizza,나는 피자를 먹고 싶어.
I want rice and I really like pizza.,1.0,1,rice,"밥이 먹고 싶고, 피자도 정말 좋아해요."
The chef put butter and oil together carefully.,0.99,1,butter,요리사는 버터와 기름을 조심스럽게 섞었습니다.
I want cheese.,0.98,1,cheese,나는 치즈를 원해요.
You like cake. This cake is very sweet.,0.85,1,cake,당신은 케이크를 좋아해요. 이 케이크는 매우 달콤해요.
I eat lots of sweets and don’t like sugar.,0.96,1,sugar,저는 과자를 많이 먹고 설탕은 좋아하지 않아요.
I love the taste of chocolate ice cream.,1.0,1,chocolate,나는 초콜릿 아이스크림 맛을 좋아해요.
I want gum because I have a toothache.,0.99,1,gum,치통이 나서 껌을 먹고 싶어요.
I eat lots of sweets and I love chocolate.,0.97,1,sweets,저는 과자를 많이 먹고 초콜릿을 좋아해요.
Mom gives me a piece of cheesecake.,1.0,1,cheesecake,엄마가 나에게 치즈케이크 한 조각을 주셨어요.
I'd love some dessert after this cake.,1.0,1,dessert,이 케이크를 먹은 후에는 디저트도 먹고 싶네요.
I want cookies.,0.96,1,cookie,나는 쿠키를 원해요.
Do you want cream?,0.99,1,cream,크림을 원하시나요?
Do you want doughnuts? It's not pumpkin.,0.97,1,doughnut,도넛 먹을래? 호박이 아니야.
I would like some pie.,1.01,1,pie,파이 좀 주세요.
His arms are strong. My shoulder hurts.,0.98,0,arm,그의 팔은 튼튼해요. 어깨가 아프네요.
My foot hurts because I wore shoes.,1.0,1,foot,신발을 신었기 때문에 발이 아프다.
"Touch your leg, my foot hurts very badly.",1.01,1,leg,"다리를 만져봐, 내 발은 너무 아파."
"Here's a sentence that meets all the requirements: ""These are your shoes. Those are my sneakers."" This sentence is 8 words long, includes the required phrases exactly as given, and forms a clear and logical statement about",0.79,1,shoes,"다음은 모든 요구 사항을 충족하는 문장입니다. &quot;이것이 당신의 신발입니다. 저것은 내 운동화입니다.&quot; 이 문장은 8단어 길이이며, 주어진 대로 필요한 구문을 정확히 포함하고 있으며, 다음에 대한 명확하고 논리적인 진술을 형성합니다."
"Bring me a pair of clean socks, please. Bring me a pair of clean socks, please.",0.73,1,socks,깨끗한 양말 한 켤레 가져다 주세요. 깨끗한 양말 한 켤레 가져다 주세요.
