문장 번호,문장,포함된 단어
550,I found a new method to mix ingredients.,method
551,Come inside my house and use restroom.,inside
553,The sink is new and full of dishes.,sink
554,They drained the water from the pool.,drain
555,A pig is digging in the garden.,dig
558,What a surprise! He is very surprised.,surprise
560,The news surprised me very much today.,surprised
561,There is a toilet in the bathroom.,toilet
563,There is a toilet in the bathroom.,bathroom
565,My cat is in the bathtub.,bathtub
569,"I’m sorry, but I have to cancel the order.",cancel
572,They are my clothes at the store.,clothes
574,These are his jeans.,jeans
575,She blew her nose into her handkerchief.,handkerchief
576,This towel feels soft; I will use it.,towel
577,They are her pants.,pants
578,They are my clothes.,cloth
579,Your new dress fits well at home.,dress
580,The pocket is small and it's my bag.,pocket
581,I gave you a dozen yellow ribbons.,ribbon
582,The zipper is long on my jacket.,zipper
585,"Could you wrap this, please?",wrap
587,It is made from natural materials.,material
589,I want spaghetti and noodles.,spaghetti
590,There are stains on the brown bowl.,stain
591,Your gloves are big.,gloves
592,His pajamas are small and her pants.,pajamas
594,This candle is very cheap.,cheap
595,This teddy bear is too expensive.,expensive
596,The price for adults is $5.,price
599,The price for adults is twenty dollars.,dollar
600,Mr. Snow is free today and I gave you this gift.,free
601,I can’t see anything without my glasses.,glasses
602,I’m looking for sunglasses.,sunglasses
603,Do you need a glass?,glass
606,Good health is better than great wealth.,wealth
609,I should pay these bills this month.,pay
613,Jenny needs some coins from her million won.,coin
615,The world has become a global village.,global
618,The TV reporter did interviews with the movie star.,interview
620,They did a phone survey of TV programs.,survey
621,We have a quiz tomorrow.,quiz
622,I have some questions about my homework.,question
623,I can raise the letters and stand up.,raise
626,The lift is lifting us upstairs.,lift
635,I sometimes play chess and video games.,sometimes
637,I often play computer games on weekends.,often
641,She's almost always late and likes butter.,always
642,I can hardly believe it's my car.,hardly
643,I buy vegetables every single day.,vegetable
644,"It's a pumpkin, and it's not a peach.",pumpkin
645,Do you want carrots after eating this fruit?,carrot
646,I don’t like potatoes.,potato
647,I don’t like tomatoes.,tomato
648,Put the onions in the pot.,onion
649,This leaf is pretty on the tree.,leaf
651,Here is a pencil case that belongs to him.,pencil case
652,You may use my pen.,pen
653,It's your pencil.,pencil
654,It's his crayon.,crayon
655,I have chalk on the blackboard.,chalk
656,They have new notebooks and computers.,notebook
657,They cut the paper into small pieces.,paper
659,It's her eraser.,eraser
660,I go to school every day.,school
667,I go to the church to pray.,church
668,I go to school after five.,go to school
670,Here is a school bag.,school bag
671,It's my bag.,bag
673,I packed the stuff into my bag.,pack
674,Let's listen to the song and touch your ear.,listen
676,Can you hear me?,hear
677,I’m building a small house.,building
678,I’m building a building.,build
680,The sheep looks cute at the lambs.,sheep
681,Look at the lambs.,lamb
683,I have breakfast and dinner.,breakfast
684,I have lunch.,lunch
685,I have dinner here.,dinner
686,I have snacks and my favorite food is pizza.,snack
689,It's cool in the evening when I sleep.,evening
691,I have breakfast and dinner.,have breakfast
692,I have lunch.,have lunch
693,I have dinner here.,have dinner
694,The food is good for your health.,food
697,Can you get the dish for me?,dish
698,The alarm clock alarmed me at three o'clock.,alarm
700,The table is dirty and has a ball.,table
702,Let's go on a picnic.,picnic
703,I like salad and I would like fruit.,salad
704,They are guarding the start line while he runs.,start
708,I often stay up late and get up early.,stay up
709,I stand up when I get up early.,get up
712,Check your work before hanging it up.,hang
713,Please sweep up the sweets.,sweets
714,I don’t like sugar and I eat sweets.,sugar
715,I prefer chocolate ice cream as dessert.,dessert
716,Mom gives me cheesecake.,cheesecake
717,You like cake and Mom gives it.,cake
718,I want cheese and butter.,cheese
719,I want candy and gum.,candy
720,I love the taste of chocolate ice cream.,chocolate
721,I want gum because I have a toothache.,gum
722,I need another spoon.,spoon
723,Here is some glue on my desk.,glue
724,There is a crack in the cracker.,crack
725,Let me examine your teeth while she bites.,bite
726,I would like some pie.,pie
729,They like French fries.,French fries
730,I want a hot dog.,hot dog
731,I want milk and I like juice.,milk
732,I want cookies because they are our cookies.,cookie
733,I want pizza and I will divide it.,pizza
734,Do you want cream on your ice cream?,cream
735,Do you want doughnuts?,doughnut
737,The chicken is so chicken today.,chicken
738,My grandpa has many hens.,hen
739,I have a bird on my roof.,bird
740,This is a baby duck.,duck
741,I like eggs and count two.,egg
742,I have a big bat and I want a mouse.,bat
743,There is something fishy about the fish.,fish
744,A fishing contest is interesting because he fishes.,fishing
745,Let's go fishing tomorrow.,go fishing
746,This math problem is very easy.,easy
747,Cooking spaghetti is simple and easy.,simple
748,Our last test was very difficult.,difficult
758,Many people are waving their hands at my friends.,people
761,Let's have a party.,party
762,Let's have a party.,have a party
763,We will celebrate Piggy's birthday.,celebrate
765,It smells good when dogs touch their noses.,smell
766,The skunk stinks; it smells good outside.,stink
769,My head hurts because I fell down.,head
772,He has a sore throat.,throat
773,Touch your neck because it hurts.,neck
774,I have a bad cold.,bad cold
775,I have a really sore throat.,sore throat
776,It's cold because it's winter outside.,cold
777,Touch your nose.,nose
778,It's on the plate.,plate
779,The girl wrinkled her eyebrows at the sweater.,wrinkle
780,"Touch your ear, my father is deaf.",ear
782,"Go back slowly, please, I'm resting on the bench.",back
783,I poked it with a fork.,poke
784,I have a fever and I’m sick.,fever
785,I have a headache on my head.,headache
787,Don't swim in deep water.,deep
788,The boy heard his friend's bell ringing.,bell
789,This is my fan.,fan
792,The boy has a cough.,cough
795,Her knit top looks neat.,top
796,The bony man looks sad and nice.,bony
797,She is wiping the window and filling glass.,window
798,I wash my face.,face
799,I can bend the rubber band.,bend
801,Stretch your body and touch your arm.,body
803,The bear has a big chest.,chest
804,Touch your cheek and touch your chin.,chin
807,He is blind and touch your eye.,eye
808,"The five senses are touch, smell, taste, sight, and hearing.",sense
810,It's my cap.,cap
812,It's fall and leaves are falling outside.,fall
813,My brother's birthday is in April.,April
815,There are twelve months in a year.,month
816,We have a lot of snow in winter.,snow
818,I like summer vacation.,summer
819,I read many books in autumn.,autumn
820,I hate winter because it's cold.,winter
822,What's your favorite season is spring.,season
823,My birthday is in January and winter.,January
825,School begins in March every year.,March
826,Children's Day is in May.,May
827,His birthday is in June.,June
828,Her birthday is in July.,July
829,Tommy's birthday is in August.,August
830,Jina’s birthday is on September 15th.,September
831,Halloween is in October on the 31st.,October
832,Thanksgiving day is in November.,November
833,Christmas day is in December and January.,December
835,He marked her birthday on the calendar.,calendar
839,We're excited about our upcoming family vacation.,excited
840,I have a pair of sneakers.,pair
845,He is foolish and so is his friend.,fool
846,He is blind and foolish.,foolish
849,I’m eating because I’m hungry.,hungry
850,I’m thirsty. Give me some juice.,thirsty
851,I think this book is very interesting.,interesting
861,There are many cows on the farm.,many
867,I was rude to my mom.,rude
875,We like playing hockey with our sticks.,hockey
876,We like sports and I play soccer.,sport
877,Let's play baseball after school today.,baseball
878,The ball is near me and it's black.,ball
879,Let's play badminton.,badminton
880,We are playing basketball outside today.,basketball
881,Let's play golf on the green.,golf
883,I’m on the soccer team.,soccer
884,We are playing tennis with him.,tennis
885,Let's play volleyball.,volleyball
886,Do you need a new bowl?,bowl
887,The board is big and I play chess.,board
888,You have to play outside.,play
889,She is swinging the swing at the playground.,swing
892,He won the boxing match.,match
893,It's a cup that I broke.,cup
895,He can't skate because he's spinning.,skate
896,I train my team every single day.,team
897,I have a brown basket and cover it.,basket
898,I sometimes play chess on Fridays.,chess
901,We watch a musical.,musical
902,She is a great pianist and plays piano.,pianist
903,Let's play the drum.,drum
904,Let's play the guitar at music class.,guitar
905,Let's play the piano every week.,piano
906,Let's play the violin because my uncle is a musician.,violin
908,She is a very popular singer.,singer
910,He has a talent for music.,talent
911,The rock is rocking very hard.,rock
912,Let's sing a song.,sing
915,This is my yellow radio.,radio
916,Let's play the recorder.,recorder
917,Let's sing a song.,song
918,James is a handsome prince who sings.,prince
919,The teacher shouts Get off the stage!,stage
920,I have an album.,album
921,I want jam and I like juice.,jam
923,The TV is wide and big.,wide
924,The bus is big and drives on It’s a broad road.,broad
927,She perceived she placed first in the contest.,first
931,Today is my twelfth birthday and they have math on Thursdays.,twelfth
933,Twenty plus twenty is forty.,twenty
934,Thirty plus thirty is sixty.,thirty
935,Forty plus forty is eighty.,forty
936,Forty plus fifty is ninety.,fifty
937,Thirty plus thirty is sixty.,sixty
938,Thirty plus forty is seventy.,seventy
939,Forty plus forty is eighty.,eighty
940,Forty plus fifty is ninety.,ninety
942,Ten times one hundred is one thousand.,thousand
944,It's an old car.,old
945,The total amount came to one million won.,million
946,There are nine zeroes in a billion.,billion
947,I have one cow and I’m counting numbers.,one
951,"Five minus one is four, it's five ten now.",five
952,Think of a number and add six.,six
956,It's five ten now and math is easy.,ten
957,The library has a program for adults.,adult
961,The youth of today have no manners.,youth
962,His weight is double hers.,double
965,I’m eleven years old and seven is my lucky number.,eleven
966,You are twelve years old today.,twelve
968,She is fourteen years old.,fourteen
970,My sister is sixteen years old.,sixteen
971,My brother is seventeen years old.,seventeen
972,My cousin is eighteen years old.,eighteen
973,Kevin is nineteen years old.,nineteen
975,I've recorded it on the recorder.,record
976,The teacher repeated the question and sat down.,repeat
980,You have the wrong number.,number
981,I can solve this math problem.,math
983,Don’t move until I tell you.,tell
984,The wind was wild at the park.,wild
985,It's about two fools and old cell phones.,about
986,The fruits are fresh and It's clean.,fresh
989,Thank you for the present I have a watch.,present
991,I know the answer and stand up.,answer
992,You can ask the questions and I will answer.,ask
994,Let's make a plan for our vacation.,plan
996,"The button is big, touch your hand.",button
997,He can’t contact anyone because he’s sick.,contact
1000,The middle building is my dad's office.,middle
1002,It's a new shop next door.,new
1007,Lisa has straight hair.,straight
1008,I can solve this math problem.,solve
1009,I’m at home and we will meet tomorrow.,at
1010,This present is for you.,for
1013,I’m leading my class and writing on the blackboard.,lead
1015,Write the word on the blackboard: Five minus one is four.,minus
1017,Twenty plus thirty is fifty.,plus
1033,Don’t throw the stone at the iguana.,stone
1034,Spiderman can't fly because he's stuck on Earth.,man
1035,"I’m not joking, I’m very serious.",serious
1038,There is a pile of heavy files.,pile
1039,My birthday is next Thursday.,birthday
1041,Look at this graph I drew on paper.,graph
1045,Go straight one block and write on blackboard.,block
1049,Let's make groups and gather together.,group
1050,He loaded the handcart; it's too heavy.,load
1051,Don’t miss this chance to meet the guest.,chance
1053,Can you join us to make groups?,join
1054,I want a key.,key
1062,Somebody is knocking on the door.,knock
1063,That tree is low and it's light.,low
1068,I like camping and going outside.,camping
1070,Let's go hiking on the mountain.,hiking
1071,Let's go camping and have fun.,go camping
1072,Let's go hiking on the mountain.,go hiking
1073,He is on top of the mountain.,mountain
1074,They went on a tour of the city.,tour
1075,I will go jogging with Brandy.,jogging
1076,Look! I can run.,run
1077,I’m going to run a marathon.,run a marathon
1079,I can walk up this street.,walk
1081,The manager is in charge of the store.,store
1084,Let's go to the restaurant on your right.,restaurant
1085,The bookshelf is dirty and needs cleaning.,bookshelf
1087,We're in the bookstore on Friday.,bookstore
1088,We are collecting money for charity today.,collect
1091,The guide is guiding us through the woods.,guide
1094,I know an interesting website to explore.,website
1096,Let's go to the clothing store.,clothing store
1097,Let's go to the market and buy meat.,market
1098,We go to the bank.,bank
1099,The gym is closed this Sunday.,gym
1100,I need a spoon.,need
1101,I want milk and candy.,want
1103,I prefer chocolate ice cream over purple.,prefer
1104,I beg your pardon? I want sandwiches.,beg
1106,I have a ball and I have breakfast.,have
1111,We can recycle the empty bottles.,recycle
1113,I’ll throw this into the trash can.,trash
1115,I don’t like corn.,corn
1116,I like bread and I want some.,bread
1119,I want sandwiches because I like bread.,sandwich
1120,Do you want some vegetable soup?,soup
1123,Jenny is a baker and she bakes bread.,baker
1126,I want rice.,rice
1127,Cutting the watermelon in half is this.,watermelon
1129,I like bananas.,banana
1130,I like grapes and fresh strawberries.,grapes
1131,I like watermelons because this is a melon.,melon
1132,"It is a peach, I would like some fruit.",peach
1133,That is a pear.,pear
1135,I’m sprinkling some seeds on it.,seed
1136,I don’t like pepper.,pepper
1137,I like apples more than bananas.,apple
1138,I have nine kiwis and like kangaroos.,kiwi
1139,I like juice and that is a lemon.,lemon
1141,We see the bees in the sky.,bee
1142,I have a pretty vase on a metal base.,vase
1143,I like juice and I want some.,juice
1144,My boots are blue.,boots
1145,I’m looking for sneakers.,sneakers
1147,Your arm is long; touch your arm.,arm
1148,These are your shoes.,shoes
1149,Bring me a pair of clean socks.,socks
1151,My foot hurts and I have shoes.,foot
1152,My knee hurts and my foot hurts.,knee
1154,My toe hurts and I have shoes.,toe
1155,Touch your leg because your foot hurts.,leg
1157,I’m good at kicking a ball.,kick
1159,I sneaked into the dark room.,sneak
1161,He has a handicap of being blind.,handicap
1162,The kids play on the hill every day.,hill
1164,I can jump over the wall.,jump
1165,Trace the trace he left behind.,trace
1166,You like curry because it is salty.,curry
1168,"It's your shirt, she is hanging it.",shirt
1169,My sister has my green vest.,vest
1170,The black suit suits me perfectly.,suit
1171,It's your coat.,coat
1172,It's my jacket.,jacket
1173,It's my sweater.,sweater
1174,Your scarf is long.,scarf
1175,You must wear your helmet when riding.,helmet
1178,I bought a hat and my cap.,hat
1179,I like my school uniform.,uniform
1180,Your belt is short and your pants.,belt
1181,I’m shooting at the goal.,shoot
1183,I hit the ball and I'm shooting at the goal.,hit
1187,"If that way is east, then it's west.",west
1188,"If that way is east, then this way is west.",east
1198,Go along this way and walk carefully.,along
1202,I replied to his reply.,reply
1204,I’ll send you a text message.,message
1205,He is famous because he won awards.,famous
1207,It's a common mistake to confuse familiar.,common
1208,The ring has the shape of a circle.,circle
1210,"Squares, circles, and triangles are all shapes.",triangle
1212,The ring has the shape of a circle.,ring
1213,We go to the concert.,concert
1214,I’m going to the concert hall.,concert hall
1217,How about going to the festival tonight.,festival
1218,I feel tired like He’s.,tired
1219,You should get some rest because I'm tired.,rest
1221,I feel tired like She’s sleepy.,sleepy
1222,"I feel tired, it's time to sleep.",sleep
1228,My arm and leg are a little sore.,sore
1229,My knee hurts and my foot hurts.,hurt
1230,Don't tear the letter; she is sad.,tear
1241,There is no life after death.,death
1242,She survived in the survival game.,survive
1243,My sister knows how to enjoy life.,life
1244,My brothers fight with each other every day.,fight
1250,I’m eating my lunch.,eat
1252,It's time to feed my dog.,feed
1254,He is drinking coffee from the glass.,drink
1256,Sit down and come inside my house.,do
1258,Let's throw a ball.,throw
1260,I will catch the ball.,catch
1261,The skater is spinning while going right.,spin
1264,We are close friends.,friend
1267,I respect my mother very much.,respect
1268,He is a very friendly person.,friendly
1269,I love my parents and I love my friends.,love
1271,You're kind and so is your cousin.,kind
1272,It takes an hour to get home.,hour
1276,I like purple.,purple
1277,The light is dark outside tonight.,dark
1278,This is an orange that's green.,orange
1279,The car is white.,white
1280,This goat is black and white.,black
1281,My boots are blue and I like purple.,blue
1282,The horse is brown and has hair.,brown
1283,I like this red color.,color
1284,The plane is gray and brown.,gray
1285,My shorts are It's green.,green
1287,I like this red brown green color.,red
1288,"It's a yellow pen, it's red, it's green, it's white.",yellow
1289,The teacher asked When is the race?,race
1290,Look at the rainbow. It's green and red.,rainbow
1292,Time is gold when bars are green and red.,gold
1294,He works in the sales department.,sale
1297,Do you sell meat at this store?,sell
1298,I ordered them to line up.,order
1302,Jason is short but my sister is tall.,short
1304,Your arm is long.,long
1306,The barbell is very heavy.,heavy
1307,His weight is double hers and it's heavy.,weight
1310,This towel feels soft.,soft
1312,The gentleman is gentle and kind always.,gentle
1314,I want a box that's pink and behind it.,box
1315,We should recycle the empty bottles.,bottle
1323,We elected John president of our class.,elect
1330,A judge is in court today.,court
1331,"I know an interesting website.

The source of my writing is a combination of language patterns and knowledge about common vocabulary used in everyday conversations.",source
1335,The announcer announced the news to everyone.,announce
1343,The teacher asked if the glass is half empty.,half
1348,What a terrible thing! It's a spoon.,thing
1349,I marked the item on my pair of shoes.,item
1351,"When you laugh, your brain works better.",laugh
1353,You have a cute smile. Keep smiling.,smile
1355,The man is hairy.,hairy
1356,I have a new comb and red hairpin.,hair
1359,He got some mustard on his mustache.,mustache
1360,She has curly hair and I have red.,curly
1361,I have a new comb.,comb
1362,I have a red hairpin.,hairpin
1366,I’m angry and I need some space.,angry
1367,I feel happy today because we won the game.,happy
1371,This butter tastes bitter and is not good.,bitter
1376,The curry tastes salty because of salt.,salty
1377,You look so sad when watching movies.,sad
1379,"Be quiet, close the door and shutters.",shut
1381,We must sit down because the bun is burning.,burn
1382,Music is a tool to express emotions.,emotion
1386,They are poor and very hungry.,poor
1389,Paul looks so nervous on stage.,nervous
1390,She is scared of big spiders.,scared
1391,Mom looks worried about my midterm exam.,worried
1393,"Don't worry, I'm here to help you.",worry
1394,I’m afraid of big spiders; she is scared.,afraid
1400,I’m on vacation and I like summer.,vacation
1403,We go to the museum.,museum
1407,Let's watch the magic show.,show
1410,They have a pet dog.,pet
1412,My puppy takes my things to play.,puppy
1413,I have four cats.,cat
1414,I have a dog and need food.,dog
1416,There's an iguana on the stone.,iguana
1417,Look at that white rabbit.,rabbit
1418,It's a wolf.,wolf
1419,I want a robot.,robot
1420,I'm feeding the monkeys and I have a monkey.,monkey
1421,Look! I have three pigs.,pig
1423,It's next to the plate.,next to
1424,It's behind the box.,behind
1430,She is sewing the socks.,sew
1431,Her knit top looks neat and clean.,knit
1432,I have a stomachache in my tummy.,stomachache
1433,I have a toothache and I ache there.,toothache
1434,Shake your belly after eating a meal.,belly
1436,It's a common mistake to have the wrong number.,wrong
1438,I’m not sure that’s correct.,correct
1441,It's a common mistake to say I'm bad.,mistake
1444,You look like a detective anyway.,anyway
1446,You know her and I are friends.,know
1448,I'll explain the rules of this game.,rule
1449,I don't mind if you kill this bug.,bug
1452,The problem is simple but not easy.,problem
1455,I am responsible for cooking dinner tonight.,responsible
1458,"Since he is very diligent, Mr. Jones works hard.",diligent
1460,Touch your hand and touch your arm.,hand
1463,He wrote something on my palm.,palm
1465,My hometown is a farming village.,village
1466,My hometown is Seoul.,hometown
1467,My town is big.,town
1469,Let's visit the place where we live.,place
1471,The city is big where I live.,city
1473,Many animals live in the forest.,forest
1474,Look at the tree that is low.,tree
1475,This desk is made of wood.,wood
1477,There is a clock on the table.,clock
1478,"Now, it's time for the gift exchange.",exchange
1482,I’ll send you a text message.,send
1484,Harry is the best actor.,actor
1485,I play the role of Pinocchio.,role
1487,I’m lucky today because I won first prize.,lucky
1490,I’ll visit you next time.,visit
1491,We enjoy leisure activities on weekends.,leisure
1492,I discovered that he was a liar.,discover
1499,My brother is as slow as a snail.,slow
1503,Look out! You look so dangerous.,danger
1505,Look out! You look so dangerous.,dangerous
1510,She's in trouble and needs help.,trouble
1511,Be careful with the scissors.,careful
1519,She is from Canada.,Canada
1520,He is from China and lives here.,China
1521,She is from Japan.,Japan
1522,"I’m from Seoul, Korea.",Korea
1523,Korean is my favorite subject.,Korean
1524,The earth is beautiful; look at the sky.,earth
1525,He's from Brazil.,Brazil
1527,We are from India.,India
1529,The world has become a global village.,world
1532,I traveled abroad last summer in France.,abroad
